season,round,circuit_id,lat,long,country,date,url
1965,6,zandvoort,52.3888,4.54092,Netherlands,18/07/1965,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix
1965,7,nurburgring,50.3356,6.9475,Germany,01/08/1965,http://en.wikipedia.org/wiki/1965_German_Grand_Prix
1965,8,monza,45.6156,9.28111,Italy,12/09/1965,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix
1965,9,watkins_glen,42.3369,-76.9272,USA,03/10/1965,http://en.wikipedia.org/wiki/1965_United_States_Grand_Prix
1965,10,rodriguez,19.4042,-99.0907,Mexico,24/10/1965,http://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix
1966,1,monaco,43.7347,7.42056,Monaco,22/05/1966,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix
1966,2,spa,50.4372,5.97139,Belgium,12/06/1966,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix
1966,3,reims,49.2542,3.93083,France,03/07/1966,http://en.wikipedia.org/wiki/1966_French_Grand_Prix
1966,4,brands_hatch,51.3569,0.263056,UK,16/07/1966,http://en.wikipedia.org/wiki/1966_British_Grand_Prix
1966,5,zandvoort,52.3888,4.54092,Netherlands,24/07/1966,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix
1966,6,nurburgring,50.3356,6.9475,Germany,07/08/1966,http://en.wikipedia.org/wiki/1966_German_Grand_Prix
1966,7,monza,45.6156,9.28111,Italy,04/09/1966,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix
1966,8,watkins_glen,42.3369,-76.9272,USA,02/10/1966,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix
1966,9,rodriguez,19.4042,-99.0907,Mexico,23/10/1966,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix
1967,1,kyalami,-25.9894,28.0767,South Africa,02/01/1967,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix
1967,2,monaco,43.7347,7.42056,Monaco,07/05/1967,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix
1967,3,zandvoort,52.3888,4.54092,Netherlands,04/06/1967,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix
1967,4,spa,50.4372,5.97139,Belgium,18/06/1967,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix
1967,5,lemans,47.95,0.224231,France,02/07/1967,http://en.wikipedia.org/wiki/1967_French_Grand_Prix
1967,6,silverstone,52.0786,-1.01694,UK,15/07/1967,http://en.wikipedia.org/wiki/1967_British_Grand_Prix
1967,7,nurburgring,50.3356,6.9475,Germany,06/08/1967,http://en.wikipedia.org/wiki/1967_German_Grand_Prix
1967,8,mosport,44.0481,-78.6756,Canada,27/08/1967,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix
1967,9,monza,45.6156,9.28111,Italy,10/09/1967,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix
